Readers,Writers,TotalTime(ms),AvgWaitingTime(ms)
10,1,203,18
10,2,256,17
10,3,407,62
10,4,456,57
10,5,556,83
10,6,707,235
10,7,807,233
10,8,911,368
10,9,1016,569
10,10,1113,462
11,1,204,29
11,2,254,15
11,3,407,182
11,4,508,175
11,5,556,78
11,6,708,337
11,7,810,262
11,8,911,396
11,9,1013,252
11,10,1118,596
12,1,155,3
12,2,255,14
12,3,358,30
12,4,456,50
12,5,557,73
12,6,709,318
12,7,811,489
12,8,910,459
12,9,1010,512
12,10,1111,420
13,1,204,89
13,2,255,13
13,3,359,28
13,4,458,47
13,5,557,69
13,6,708,336
13,7,759,123
13,8,858,153
13,9,1012,358
13,10,1120,312
14,1,152,3
14,2,253,12
14,3,356,26
14,4,507,296
14,5,610,329
14,6,659,90
14,7,810,440
14,8,910,457
14,9,960,177
14,10,1113,517
15,1,155,3
15,2,255,11
15,3,408,84
15,4,507,256
15,5,557,63
15,6,708,334
15,7,810,455
15,8,910,287
15,9,1012,290
15,10,1113,576
16,1,156,3
16,2,306,165
16,3,357,24
16,4,505,198
16,5,607,244
16,6,659,82
16,7,808,434
16,8,911,240
16,9,1009,429
16,10,1113,518
17,1,208,11
17,2,307,180
17,3,358,22
17,4,508,253
17,5,608,208
17,6,656,78
17,7,807,509
17,8,909,333
17,9,1011,635
17,10,1109,460
18,1,204,104
18,2,256,10
18,3,357,21
18,4,507,282
18,5,610,344
18,6,659,75
18,7,811,432
18,8,910,551
18,9,1011,257
18,10,1112,669
19,1,206,108
19,2,256,9
19,3,407,164
19,4,505,231
19,5,559,52
19,6,711,99
19,7,805,412
19,8,911,404
19,9,1010,418
19,10,1112,684
20,1,206,16
20,2,258,9
20,3,354,19
20,4,459,33
20,5,557,50
20,6,707,245
20,7,812,175
20,8,909,480
20,9,1010,337
20,10,1061,167
21,1,207,9
21,2,306,171
21,3,357,18
21,4,506,266
21,5,609,219
21,6,709,285
21,7,811,277
21,8,909,522
21,9,1014,486
21,10,1058,162
22,1,156,2
22,2,255,8
22,3,407,243
22,4,461,31
22,5,608,292
22,6,660,64
22,7,806,448
22,8,909,421
22,9,1009,469
22,10,1112,519
23,1,206,88
23,2,258,8
23,3,360,17
23,4,507,297
23,5,608,143
23,6,658,62
23,7,808,483
23,8,910,544
23,9,1013,606
23,10,1115,505
24,1,157,2
24,2,256,7
24,3,357,16
24,4,508,207
24,5,559,43
24,6,659,60
24,7,809,273
24,8,910,206
24,9,1012,500
24,10,1110,488
25,1,156,1
25,2,256,7
25,3,357,16
25,4,459,28
25,5,559,41
