Readers,Writers,TotalTime(ms),AvgWaitingTime(ms)
10,1,157,4
10,2,254,17
10,3,357,35
10,4,457,58
10,5,558,84
10,6,666,114
10,7,761,145
10,8,861,179
10,9,963,216
10,10,1064,252
11,1,155,4
11,2,256,15
11,3,358,33
11,4,456,53
11,5,560,79
11,6,661,107
11,7,759,137
11,8,862,170
11,9,969,205
11,10,1061,240
12,1,153,3
12,2,255,14
12,3,359,30
12,4,457,50
12,5,557,74
12,6,660,101
12,7,762,130
12,8,862,161
12,9,959,193
12,10,1064,230
13,1,155,3
13,2,255,13
13,3,359,28
13,4,458,47
13,5,557,70
13,6,664,95
13,7,761,123
13,8,863,155
13,9,961,185
13,10,1154,240
14,1,171,3
14,2,278,14
14,3,388,29
14,4,497,49
14,5,606,73
14,6,718,99
14,7,827,128
14,8,1090,208
14,9,1038,192
14,10,1144,225
15,1,171,3
15,2,279,13
15,3,388,27
15,4,497,46
15,5,605,68
15,6,713,94
15,7,826,122
15,8,932,152
15,9,1043,185
15,10,1068,202
16,1,154,3
16,2,254,11
16,3,358,24
16,4,459,40
16,5,574,60
16,6,714,88
16,7,824,117
16,8,933,145
16,9,1039,176
16,10,1150,209
17,1,172,3
17,2,295,13
17,3,389,25
17,4,496,42
17,5,608,63
17,6,713,85
17,7,824,112
17,8,947,141
17,9,1045,170
17,10,1153,203
18,1,171,3
18,2,277,11
18,3,390,24
18,4,495,40
18,5,602,59
18,6,691,81
18,7,776,101
18,8,861,124
18,9,960,151
18,10,1061,179
19,1,157,2
19,2,258,9
19,3,358,20
19,4,459,35
19,5,559,52
19,6,663,72
19,7,756,94
19,8,860,119
19,9,962,146
19,10,1065,174
20,1,155,2
20,2,256,9
20,3,353,19
20,4,457,33
20,5,562,50
20,6,658,70
20,7,766,92
20,8,859,115
20,9,957,140
20,10,1062,168
21,1,156,2
21,2,256,8
21,3,360,19
21,4,457,32
21,5,557,48
21,6,656,67
21,7,758,88
21,8,862,111
21,9,960,136
21,10,1059,162
22,1,158,2
22,2,256,8
22,3,355,18
22,4,456,31
22,5,559,46
22,6,658,65
22,7,757,85
22,8,858,107
22,9,966,132
22,10,1063,158
23,1,155,2
23,2,254,8
23,3,360,17
23,4,459,30
23,5,561,45
23,6,665,63
23,7,760,82
23,8,858,103
23,9,964,127
23,10,1064,153
24,1,155,2
24,2,278,7
24,3,355,16
24,4,457,29
24,5,559,43
24,6,662,60
24,7,763,79
24,8,865,101
24,9,968,124
24,10,1070,149
25,1,155,1
25,2,256,7
25,3,360,16
25,4,465,28
25,5,559,42
25,6,669,58
25,7,759,77
25,8,862,98
25,9,964,120
25,10,1061,143
26,1,158,1
26,2,257,7
26,3,359,15
26,4,459,27
26,5,560,40
26,6,662,56
26,7,781,76
26,8,859,94
26,9,963,116
26,10,1062,140
27,1,155,1
27,2,262,7
27,3,360,15
27,4,456,26
27,5,561,39
27,6,662,55
27,7,761,72
27,8,861,92
27,9,964,114
27,10,1064,136
28,1,155,1
28,2,260,6
28,3,360,14
28,4,457,25
28,5,559,38
28,6,660,53
28,7,757,70
28,8,862,89
28,9,963,110
28,10,1065,132
29,1,155,1
29,2,255,6
29,3,356,14
29,4,458,24
29,5,557,36
29,6,658,52
29,7,761,68
29,8,858,87
29,9,962,107
29,10,1062,129
30,1,158,1
30,2,257,6
30,3,362,13
30,4,461,23
30,5,557,36
30,6,663,50
30,7,759,66
30,8,857,84
30,9,966,105
30,10,1062,125
31,1,154,1
31,2,259,6
31,3,360,13
31,4,457,23
31,5,558,35
31,6,657,49
31,7,769,65
31,8,858,82
31,9,960,102
31,10,1066,123
32,1,156,1
32,2,264,5
32,3,355,12
32,4,458,22
32,5,563,34
32,6,668,47
32,7,762,63
32,8,863,80
32,9,961,99
32,10,1063,120
33,1,155,1
33,2,256,5
33,3,356,12
33,4,457,21
33,5,559,33
33,6,662,46
33,7,761,61
33,8,868,78
33,9,961,97
33,10,1069,117
34,1,155,1
34,2,257,5
34,3,359,12
34,4,457,21
34,5,559,32
34,6,661,45
34,7,764,60
34,8,861,77
34,9,965,95
34,10,1062,114
35,1,159,1
35,2,259,5
35,3,366,12
35,4,456,20
35,5,611,31
35,6,662,44
35,7,760,58
35,8,863,75
35,9,983,95
35,10,1076,113
36,1,154,1
36,2,259,5
36,3,362,11
36,4,458,20
36,5,561,30
36,6,668,43
36,7,758,57
36,8,863,73
36,9,960,90
36,10,1065,109
37,1,156,1
37,2,259,5
37,3,358,11
37,4,457,19
37,5,558,30
37,6,658,42
37,7,762,56
37,8,862,71
37,9,961,88
37,10,1064,107
38,1,155,1
38,2,267,5
38,3,359,11
38,4,463,19
38,5,585,31
38,6,663,41
38,7,767,55
38,8,868,70
38,9,964,86
38,10,1066,105
39,1,161,1
39,2,256,5
39,3,373,11
39,4,460,19
39,5,593,31
39,6,662,40
39,7,762,54
39,8,861,68
39,9,971,85
39,10,1063,102
40,1,156,1
40,2,265,4
40,3,362,10
40,4,468,18
40,5,562,28
40,6,662,39
40,7,796,54
40,8,872,67
40,9,964,83
40,10,1065,101
41,1,155,1
41,2,263,4
41,3,366,10
41,4,464,18
41,5,565,27
41,6,666,38
41,7,768,51
41,8,865,65
41,9,961,81
41,10,1064,98
42,1,160,1
42,2,256,4
42,3,360,10
42,4,460,17
42,5,559,26
42,6,662,38
42,7,761,50
42,8,862,64
42,9,964,80
42,10,1065,97
43,1,158,1
43,2,259,4
43,3,363,10
43,4,459,17
43,5,566,26
43,6,662,37
43,7,764,49
43,8,864,63
43,9,966,79
43,10,1062,95
44,1,155,1
44,2,260,4
44,3,364,9
44,4,457,16
44,5,568,25
44,6,660,36
44,7,758,48
44,8,865,62
44,9,962,77
44,10,1067,93
45,1,157,1
45,2,257,4
45,3,361,9
45,4,461,16
45,5,559,25
45,6,660,35
45,7,763,47
45,8,857,60
45,9,964,75
45,10,1063,91
46,1,160,1
46,2,261,4
46,3,360,9
46,4,460,16
46,5,563,24
46,6,660,35
46,7,763,46
46,8,863,59
46,9,968,74
46,10,1062,90
47,1,159,1
47,2,262,4
47,3,362,9
47,4,463,16
47,5,560,24
47,6,663,34
47,7,764,45
47,8,867,59
47,9,970,73
47,10,1064,88
